UI_20150317_000001	{@st41b}各种大师职业类别{nl}你可以了解的特点.{/}
UI_20150317_000094	{@st41}普通聊天{/}
UI_20150317_000095	{@59}关闭{/}
UI_20150317_000096	{@59}邀请{/}
UI_20150317_000097	{@st59}全部{/}
UI_20150317_000098	{@st59}一般  (/s message){/}
UI_20150317_000099	{@st59}喊叫  (/y message){/}
UI_20150317_000100	{@st59}组队  (/p message){/}
UI_20150317_000101	{@st59}悄悄话   (/w Teamname message){/}
UI_20150317_000102	{@st59}调整聊天窗口{/}
UI_20150317_000103	{@st43}{s22}聊天宏{/}
UI_20150317_000104	{@st43}宏{/}
UI_20150317_000105	{@st59b}宏{nl}{@st59s} - 如何使用 : {nl} 1. 从顶部列表选择一种手势{nl} 2. 组合聊天内容和手势{nl} 3. 激活热键宏.{/}
UI_20150317_000106	{@st59}关闭宏窗口{/}
UI_20150317_000107	{@st41b}保存{/}
UI_20150317_000108	{@st59}保存宏{/}
UI_20150317_000109	{@st41b}取消{/}
UI_20150317_000110	{@st59}取消创建{/}
UI_20150317_000111	{@st42}聊天设定
UI_20150317_000112	{@st42}透明度
UI_20150317_000113	消息泡泡
UI_20150317_000114	在屏幕顶部显示喇叭
UI_20150317_000115	{@st43}黑名单{/}
UI_20150317_000116	{@st42b}  道具  {/}
UI_20150317_000117	{@st42b}  怪物  {/}
UI_20150317_000118	{@st42b}  移动地图  {/}
UI_20150317_000119	{@st42b}  战斗命令  {/}
UI_20150317_000120	{@st41b}关闭{/}
UI_20150317_000121	{s16}{b}双击或生成按钮可以创建道具.
UI_20150317_000122	{s16}{b}个
UI_20150317_000123	{s16}{b}等级
UI_20150317_000124	{@st41b}查询{/}
UI_20150317_000125	{s16}{b}双击或生成按钮可以召唤怪物.
UI_20150317_000126	{s16}{b}玛丽
UI_20150317_000127	{s16}{b}选择想要去的区域
UI_20150317_000128	{s18}{b}查看小地图{/}
UI_20150317_000129	{@st41b}工具列表{/}
UI_20150317_000130	珍藏 {@st59b} {nl} {@st59s} - If you collect the items saved my collection deck games can collect the item {nl} - If you use shortcut keys to activate the collection item collection deck {nl} {/}
UI_20150317_000131	{@st59}关闭收集窗口{/}
UI_20150317_000132	{@st43}收集{/}
UI_20150317_000133	{@st43}彩色喷雾{/}
UI_20150317_000134	{@st49}彩色喷雾{/}
UI_20150317_000135	{@st49}颜色{/}
UI_20150317_000136	{@st49}剩余{/}
UI_20150317_000137	{@st49}刷{/}
UI_20150317_000138	{@st49}{a END_EDIT_SPRAY}绘画{/}{/}
UI_20150317_000139	{@st49}{a SAVE_EDIT_SPRAY}保存{/}{/}
UI_20150317_000140	{@st49}{a LOAD_EDIT_SPRAY}读档{/}{/}
UI_20150317_000141	{@st49}关闭{/}
UI_20150317_000142	{@st43} 领养同伴
UI_20150317_000143	{@st59} 输入预售同伴的名字 {/}
UI_20150317_000144	{@st41b}名称{/}
UI_20150317_000145	{@st41b}价格 %s{/}
UI_20150317_000146	{@st59} 关闭同伴预售窗口 {/}
UI_20150317_000147	{@st41b}采用
UI_20150317_000148	{@st59}确认通过 {/}
UI_20150317_000149	{@st43}同伴商店
UI_20150317_000150	{@st59}关闭 同伴商店{/}
UI_20150317_000151	{@st43}其他角色信息{/}{@st42}
UI_20150317_000152	{@st59}关闭角色信息{/}
UI_20150317_000153	{@st41b}信息
UI_20150317_000154	{@st41b}记录
UI_20150317_000155	团队名称
UI_20150317_000156	角色名称
UI_20150317_000157	{#Ffff00}%s{/}Rank %s {#ffff00}%s{/}Level
UI_20150317_000158	战斗
UI_20150317_000159	冒险 {#ffff00}%s{/} (Rank{#ffff00}%s{/}/%s)
UI_20150317_000160	冒险 {#ffff00}%s{/} ({#ffff00}未排名{/})
UI_20150317_000161	成就 {#ffff00}%s{/}个
UI_20150317_000162	设置
UI_20150317_000163	清理标签页来删除侧标签.
UI_20150317_000164	{@st49}全部{/}
UI_20150317_000165	{@st49}系统{/}
UI_20150317_000166	{@st49}对话{/}
UI_20150317_000167	{@st49}战斗{/}
UI_20150317_000168	{@st49}道具{/}
UI_20150317_000169	{@st43}积分{/}
UI_20150317_000170	{@st43}目标锁定 {/}
UI_20150317_000171	NPC 名称
UI_20150317_000172	对比
UI_20150317_000173	说明
UI_20150317_000174	选择对话
UI_20150317_000175	帮助文本
UI_20150317_000176	{@st41}创造道具{/}
UI_20150317_000177	{@st45tw2}道具创造中...
UI_20150317_000178	%r 秒钟
UI_20150317_000179	{@st41}取消{/}
UI_20150317_000180	{@st45tw2}数量 {/}
UI_20150317_000181	{@st45tw2}制作道具吗?
UI_20150317_000182	{@st41}决定{/}
UI_20150317_000183	任务信息
UI_20150317_000184	{@st59}取消交易{/}
UI_20150317_000185	{@st43}个人交易{/}
UI_20150317_000186	我的交易列表
UI_20150317_000187	银币 : %s
UI_20150317_000188	输入
UI_20150317_000189	{@st41}受理
UI_20150317_000190	{@st41}最终确认
UI_20150317_000191	对方(%s) 交易列表
UI_20150317_000192	对方名称
UI_20150317_000193	{s18}{ol}{gr gradation1}现场活动{/}
UI_20150317_000194	{s20}{ol}击败乌波部落! 你想参加吗?
UI_20150317_000195	{s20}{ol}%s 你想参加吗?
UI_20150317_000196	{s20}{ol}参与者 : (1/5)
UI_20150317_000197	{s20}{ol}参与者 : (%s/%s)
UI_20150317_000198	{s20}{ol}1秒后游戏开始.
UI_20150317_000199	{s20}{ol}%s秒后游戏开始.
UI_20150317_000200	不显示日期.
UI_20150317_000201	不显示野外事件.
UI_20150317_000202	加入游戏
UI_20150317_000203	和其他玩家开始游戏.
UI_20150317_000204	不加入游戏.
UI_20150317_000205	预设喷雾
UI_20150317_000206	{@st49}选择{/}
UI_20150317_000207	{@st49}退出{/}
UI_20150317_000208	{@st49}删除{/}
UI_20150317_000209	选择一个文件名来保存.
UI_20150317_000210	{@st43}好友列表
UI_20150317_000211	{@st59}关闭好友列表{/}
UI_20150317_000212	{@st59b}好友列表{nl}{@st59s} - 能在不同账号间互建基情{nl} - 你可以在列表标签上查看列表上朋友的状态{nl} - 你可以在标签设置里面检查黑名单和请求{/}
UI_20150317_000213	{@st41b}在线好友{/}
UI_20150317_000214	{@st41b}列表
UI_20150317_000215	{@st41b}设置
UI_20150317_000216	{@st41b}添加好友
UI_20150317_000217	{@st41b}阻止
UI_20150317_000218	{@st59}搜寻{/}
UI_20150317_000219	{@st44}公会{/}
UI_20150317_000220	公会
UI_20150317_000221	列表
UI_20150317_000222	新闻
UI_20150317_000223	公会任务
UI_20150317_000224	在线成员
UI_20150317_000225	{@st44}创建公会{/}
UI_20150317_000226	{@st42}创建{/}
UI_20150317_000227	{@st42}关闭{/}
UI_20150317_000228	{@st42}所有{/}
UI_20150317_000229	{@st42}日排行{/}
UI_20150317_000230	{@st42}周排行{/}
UI_20150317_000231	{@st56} 阶级 {/}
UI_20150317_000232	{@st56}点数{/}
UI_20150317_000233	{@st56}职业{/}
UI_20150317_000234	{@st56} 名称 {/}
UI_20150317_000235	前一页
UI_20150317_000236	后一页
UI_20150317_000237	{@st42}搜素 ID{/}
UI_20150317_000238	输入 ID 来搜索
UI_20150317_000239	关闭 英雄榜
UI_20150317_000240	输入 ID 来搜索
UI_20150317_000241	{@st59}耐力{/}
UI_20150317_000242	{@st43}帮助列表{/}
UI_20150317_000243	{@st59}关闭 帮助列表{/}
UI_20150317_000244	{@st59b}帮助列表{nl}{@st59s} - 选择有关游戏机制的话题{nl} - 选择查看所需主题{/}
UI_20150317_000245	{@st43}{s22}帮助{/}
UI_20150317_000246	{@st47_b}{b}帮助主题{/}
UI_20150317_000247	{@st42b}简易帮助内容{/}
UI_20150317_000248	{@st59}查看细节{/}
UI_20150317_000249	请输入数量
UI_20150317_000250	{@st59}输入内容{/}
UI_20150317_000251	{@st41b}好的
UI_20150317_000252	{@st59}确认输入信息{/}
UI_20150317_000253	{@st41b}关闭
UI_20150317_000254	{@st59}退出编辑{/}
UI_20150317_000255	{@st43}传送{/}
UI_20150317_000256	{@st59}关闭传送窗口{/}
UI_20150317_000257	传送 {@st59b} {nl} {@st59s} - 系统可以传送他们访问该地区 {nl} - 当经纬度被激活并且能组成坐标 {nl} {/}
UI_20150317_000258	{@st41}当前位置 : %s{/}
UI_20150317_000259	{@st43}{s22}传送{/}
UI_20150317_000260	{@st41b}你真的想移动到这个区域吗?{/}
UI_20150317_000261	什么是索尔射线
UI_20150317_000262	钱币消耗 : 0
UI_20150317_000263	简介
UI_20150317_000264	{@st43}道具栏{/}
UI_20150317_000265	{@st59}关闭道具栏菜单 {/}
UI_20150317_000266	{@st59b}道具栏{nl}{@st59s} - 发型/自定义 : 额外的可视化服装{nl} - 武器 : 单双手武器{nl}   (盾牌可以和单手武器一同使用){nl} - 盔甲 : 胸部, 胖次, 手套, 鞋子{nl} - 饰品 : 项链, 手镯 (最多 2) 以及戒指{nl}{/}
UI_20150317_000267	{@st59}头部装备 1{/}
UI_20150317_000268	{@st59}头部装备 2{/}
UI_20150317_000269	{@st59}手镯 2{/}
UI_20150317_000270	{@st59}胸部{/}
UI_20150317_000271	{@st59}顶部{/}
UI_20150317_000272	{@st59}服装{/}
UI_20150317_000273	{@st59}项链{/}
UI_20150317_000274	{@st59}胖次{/}
UI_20150317_000275	{@st59}鞋子{/}
UI_20150317_000276	{@st59}手镯 1{/}
UI_20150317_000277	{@st59}浏览{/}
UI_20150317_000278	{@st59}盾牌{/}
UI_20150317_000279	{@st59}戒指{/}
UI_20150317_000280	{@st59}以名称搜索道具{/}
UI_20150317_000281	负重
UI_20150317_000282	{@st43}装备BUFF{/}
UI_20150317_000283	{@st59}关闭修理界面{/}
UI_20150317_000284	{@st42}BUFF可用的装备列表
UI_20150317_000285	{@st42}消耗道具{/}
UI_20150317_000286	{@st42}执行
UI_20150317_000287	{@st42}目标物品{/}
UI_20150317_000288	{@st59}环1{/}
UI_20150317_000289	{@st43}制作物品{/}
UI_20150317_000290	{@st42b}只显示材料{/}
UI_20150317_000291	{@st59}道具制作关闭{/}
UI_20150317_000292	{@st43}{s22}损坏道具
UI_20150317_000293	{@st59}请输入你的号码{/}
UI_20150317_000294	怪物耐力槽
UI_20150317_000295	{@st44}设置道具获取{/}
UI_20150317_000296	键盘战士
UI_20150317_000297	杀死
UI_20150317_000298	99分 99秒
UI_20150317_000299	38000 点
UI_20150317_000300	速效药水
UI_20150317_000301	{@st41}确认{/}
UI_20150317_000302	{@st59b}冒险日志{nl}{@st59s} - Contains the progress information{nl} - Items aquired, monsters, crafting, map exploration, and the content progress{nl}    Main : Sum of all other categories{nl}    Level : 5 points per character and class level{nl}    Item : 装备 : Class X 10 points, Book : 10 points, Other : 1 point{nl}    Monsters : 10 points per monster (Boss : 50 points){nl}    Area exploration : 1 point per 10%{nl}    Quest : 1 point per quest{nl}    Archivements : Varies by archivements{nl}    Cartography : 10 points per piece{nl}    Collection : 5 points for Deck , 45 points for completion{nl} - Obtain rewards from village NPCs in accordance with the Advanture Statistic{/}
UI_20150317_000303	{@sti7}{s22}{ds}冒险统计{/}
UI_20150317_000304	{@st42b}{#22FF22} 最高 10% / %s 点数{/}
UI_20150317_000305	{@st42b} 平均 / %s 点数 {/}
UI_20150317_000306	1st / %s 点数
UI_20150317_000307	RANK %s
UI_20150317_000308	%s 点数
UI_20150317_000309	职业
UI_20150317_000310	小队
UI_20150317_000311	{@st59}关闭冒险日志{/}
UI_20150317_000312	{@st43}冒险积分{/}
UI_20150317_000313	{@st43}{s22}积分     
UI_20150317_000314	{@st43}{s22}名称
UI_20150317_000315	{@st43}{s22}分数
UI_20150317_000316	{@st41}更多信息{/}
UI_20150317_000317	{@st43}开始制作{/}
UI_20150317_000318	{@st59}开始制作物品.{/}
UI_20150317_000319	{@st44}键盘{/}
UI_20150317_000320	{@st42}暂停
UI_20150317_000321	{@st56}杀死{/}
UI_20150317_000322	{@st56}超必杀{/}
UI_20150317_000323	{@st56}撞击{/}
UI_20150317_000324	{@st56}快嗝屁{/}
UI_20150317_000325	法术
UI_20150317_000326	防御
UI_20150317_000327	魔法抗性
UI_20150317_000328	暴击率
UI_20150317_000329	{@st43}插槽管理{/}
UI_20150317_000330	{@st59}关闭插槽管理{/}
UI_20150317_000331	强化道具
UI_20150317_000332	潜力值
UI_20150317_000333	增加插槽费用 : {#ff9933}%s{/}{nl}取宝石费用 : {#ff9933}%s{/}
UI_20150317_000334	{@st41b}增加插槽
UI_20150317_000335	{@st41b}取宝石
UI_20150317_000336	{@st41}制造{/}
UI_20150317_000337	{@st41}%s  %s 个
UI_20150317_000338	区域地图
UI_20150317_000339	探索率 : 95.5%
UI_20150317_000340	{@st45tw}探索率 %s%{/}
UI_20150317_000341	{@st59}关闭地图 (M){/}
UI_20150317_000342	{@st41}地图{/}
UI_20150317_000343	Shift(clear), Ctrl(Medium Level)
UI_20150317_000344	{ol}标题
UI_20150317_000345	{@st41}添加{/}
UI_20150317_000346	{@st41}删除{/}
UI_20150317_000347	{@st41}保存{/}
UI_20150317_000348	{@st41}自动{/}
UI_20150317_000349	{@st41}初始化{/}
UI_20150317_000350	{@st59}设置件数.{/}
UI_20150317_000351	{ol}公会
UI_20150317_000352	{ol}信息
UI_20150317_000353	{ol}声音
UI_20150317_000354	{@st41}迷你地图制作{/}
UI_20150317_000355	{@st55}区域地图
UI_20150317_000356	{@st43}{s22}标记地点{/}
UI_20150317_000357	{@st43}{s24}标记地点{/}
UI_20150317_000358	{@st42b}过滤.{/}
UI_20150317_000359	{@st42b}类型{/}
UI_20150317_000360	{@st42b}所需. Lvl{/}
UI_20150317_000361	{@st42b}升级{/}
UI_20150317_000362	{@st42b}名字
UI_20150317_000363	{@st41b}获得道具%s
UI_20150317_000364	{@st41b}出售道具
UI_20150317_000365	{@st41b}搜索
UI_20150317_000366	{@st59}关闭标记地点菜单{/}
UI_20150317_000367	{@st42b}命令
UI_20150317_000368	{@st41b}售卖品
UI_20150317_000369	{@st43}{s22}接收道具
UI_20150317_000370	{@st41b}接收全部
UI_20150317_000371	{@st41b}获得道具
UI_20150317_000372	{@st43}{s22}出售
UI_20150317_000373	{@st42b}统计
UI_20150317_000374	{@st42b}价格
UI_20150317_000375	{@st42b}私人销售商{/}
UI_20150317_000376	{@st41b}注册
UI_20150317_000377	攻城币
UI_20150317_000378	有人杀了人
UI_20150317_000379	{@st43}小游戏{/}
UI_20150317_000380	{@st49}弹射{/}
UI_20150317_000381	{@st44}调整方向{/}
UI_20150317_000382	{@st44}射击{/}
UI_20150317_000383	小游戏
UI_20150317_000384	{s18}{ol}{gr gradation1}躲猫猫迷你游戏{/}
UI_20150317_000385	{s16}你想加入这个迷你游戏吗?
UI_20150317_000386	{s16}参与者 : (0/5)
UI_20150317_000387	{s16}参与者 : (%s/%s)
UI_20150317_000388	{s16}游戏会开始在 1 秒之后.
UI_20150317_000389	{s16}游戏开始 %s 秒之后.
UI_20150317_000390	{@st59}缩近{/}
UI_20150317_000391	{@st59}缩远{/}
UI_20150317_000392	{@st59}显示地图(M){/}
UI_20150317_000393	{@st42b}区域地图
UI_20150317_000394	{@st44}物品合成{/}
UI_20150317_000395	{s16}{#FFcc66}{ol}请选择制造的物品{/}{/}
UI_20150317_000396	{s16}{#FFcc66}{ol}拖动材料道具到格子内
UI_20150317_000397	{@st42}制造{/}
UI_20150317_000398	{@st42}退出{/}
UI_20150317_000399	%s信息
UI_20150317_000400	口啪 或 ...
UI_20150317_000401	{@st41}{Details}
UI_20150317_000402	{s20}{#050505}魔物介绍 魔物介绍 魔物介绍 魔物介绍
UI_20150317_000403	{@st41} 杀死 {/}
UI_20150317_000404	{@st41} 秒杀 {/}
UI_20150317_000405	{@st41} 普通击杀 {/}
UI_20150317_000406	{@st41} 区域 {/}
UI_20150317_000407	{@st41} 道具 {/}
UI_20150317_000408	{@st41} 成就 {/}
UI_20150317_000409	对象
UI_20150317_000410	{@st43}死灵书{/}
UI_20150317_000411	{@st59}关闭死灵书界面{/}
UI_20150317_000412	{@st59}I我实在懒得去想.{/}
UI_20150317_000413	召唤体 : {#ffcc33}%s{/}
UI_20150317_000414	不死族哈比
UI_20150317_000415	技能 : %s
UI_20150317_000416	技能 1, 技能 2
UI_20150317_000417	需要碎片 : %s
UI_20150317_000418	野兽 60 / 昆虫 20 / 变异 10
UI_20150317_000419	碎片数量
UI_20150317_000420	零件 1
UI_20150317_000421	零件 2
UI_20150317_000422	零件 3
UI_20150317_000423	恭喜! 等级提升
UI_20150317_000424	道具通知
UI_20150317_000425	{@st64}内容{/}
UI_20150317_000426	操作教程
UI_20150317_000427	{@st42b}      移动角色 上, 下, 左, 右{/}
UI_20150317_000428	{@st42b}      启用基本攻击{/}
UI_20150317_000429	{@st42b}角色正在跳跃或移动{/}
UI_20150317_000430	{@st42b}两个键一起按可以对角移动{/}
UI_20150317_000431	地图迷雾工具
UI_20150317_000432	击杀魔物工具
UI_20150317_000433	迷你地图绘制工具
UI_20150317_000434	对话工具
UI_20150317_000435	{@st43}运营商设置{/}
UI_20150317_000436	{@st59}关闭组队信息{/}
UI_20150317_000437	{@st59b}组队信息{nl}{@st59s} - 通过点击下方的按钮创建组队{nl} - 右键邀请一个角色到组队{nl} - 在设置标签内可以实时调整设置{nl} - 团队道具设置会复位{nl}    每当有人加入到队伍{/}
UI_20150317_000438	{@st43}组队信息{/}
UI_20150317_000439	{@st41b}配置{/}
UI_20150317_000440	{@st41b}组队事件{/}
UI_20150317_000441	{@st41b}设置{/}
UI_20150317_000442	{@st41}成员{/}
UI_20150317_000443	{@st41}组队配置
UI_20150317_000444	{@st41b}公共
UI_20150317_000445	{@st41b}私人
UI_20150317_000446	等级                                       ~
UI_20150317_000447	{@st41}道具 分配规则
UI_20150317_000448	{@st41b}各自 获得
UI_20150317_000449	{@st41b}顺序 获得
UI_20150317_000450	{@st41b}随机 获得
UI_20150317_000451	{@st41}经验值 分配规则
UI_20150317_000452	{@st41b}各自拿取
UI_20150317_000453	{@st41b}共同分享
UI_20150317_000454	{@st41b}等级差异
UI_20150317_000455	{@st41}分享任务
UI_20150317_000456	{@st41b}激活
UI_20150317_000457	{@st41b}关闭
UI_20150317_000458	{@st41b}创建组队
UI_20150317_000459	{@st43}公共队伍列表{/}
UI_20150317_000460	{@st59b}公共队伍列表{nl}{@st59s} - 搜寻你想要加入的队伍 {nl} - 使用条件搜索来寻找你想要的队伍 {/}
UI_20150317_000461	{@st59}关闭 公共队伍列表{/}
UI_20150317_000462	使用搜索
UI_20150317_000463	分享任务
UI_20150317_000464	Exp 优先
UI_20150317_000465	Item 优先
UI_20150317_000466	{@st43}邀请
UI_20150317_000467	{@st41b}邀请{/}
UI_20150317_000468	{s18}{ol}{gr gradation1}Logout PC rules{/}
UI_20150317_000469	{ol}Conditions for applying rules
UI_20150317_000470	{ol}Action for applying rules
UI_20150317_000471	Enter a name for the rule
UI_20150317_000472	{Gr gradation1}Registration{/}
UI_20150317_000473	Register Rules
UI_20150317_000474	{Gr gradation1}Cancel{/}
UI_20150317_000475	Cancel Action
UI_20150317_000476	{@st43}Companion Info
UI_20150317_000477	{@st59b} Companion info {nl} {@st59s} - sleep / activity button can be put into a companion minus {nl} - characteristics of a companion, items attached to timers {/}
UI_20150317_000478	{@st59}关闭同伴信息{/}
UI_20150317_000479	{@st41b}名字 : {@sti9}%s{/}
UI_20150317_000480	{@sti9}%s{@st41b}熟悉 : {@sti9}%s {@st41b}级别{/}
UI_20150317_000481	{@st41b}经验{/}
UI_20150317_000482	{@st41b} stamina {/}
UI_20150317_000483	亲密 {@st41b} {/}
UI_20150317_000484	{@st41b}Attritbutes and Information
UI_20150317_000485	{@st43}Companion List{/}
UI_20150317_000486	{@st59b}Companion{nl}{@st59s} - Click on a Companion in the list to 查看细节{/}
UI_20150317_000487	{@st59}Close Companion List{/}
UI_20150317_000488	{@st59}Close the Help Window{/}
UI_20150317_000489	{@st59}Help{nl} - Helpful Information about game mechanics{nl} - Select items from the 帮助列表 to see the details{/}
UI_20150317_000490	{@st43}Help Window{/}
UI_20150317_000491	帮助提示
UI_20150317_000492	{ol}{#AAAA00}{s16}Elapsed time : %s
UI_20150317_000493	{@st43}Poison Pot{/}
UI_20150317_000494	{@st59}Close Poison Pot UI{/}
UI_20150317_000495	{@st59}Need to write{/}
UI_20150317_000496	The amount of poison: %s
UI_20150317_000497	Items that can be used to Craft poison
UI_20150317_000498	Select All
UI_20150317_000499	Click again to disable all
UI_20150317_000500	Crafting
UI_20150317_000501	shuffle shuffle mix and shuffle
UI_20150317_000502	{@st43}物品{/}
UI_20150317_000503	{@st43}我的{/}
UI_20150317_000504	{@st43}Object{/}
UI_20150317_000505	{@st43}Level{/}
UI_20150317_000506	{@st43}资金{/}
UI_20150317_000507	{@st43}Rate{/}
UI_20150317_000508	{@st43}PvP Win rate{/}
UI_20150317_000509	{@st59}关闭窗口{/}
UI_20150317_000510	{@sti5}Total purchase amoun t: %s{/}
UI_20150317_000511	{@sti5}Total amount : %s{/}
UI_20150317_000512	{@st41b} Purchase
UI_20150317_000513	{@st43} Acquired ingredients for manufacturing item!
UI_20150317_000514	{@st43}Magnum Opus{/}
UI_20150317_000515	{@st41}Delete All
UI_20150317_000516	{@st42}Pension object {@stx1}(%s required){/}
UI_20150317_000517	{@st41}Combination
UI_20150317_000518	{@st43}Quest{/}
UI_20150317_000519	{@st59b}Quest{nl}{@st59s} - Quest reminders are available for each quest{nl} - The Main-Quests are Yellow, The Sub-Quest are blue{nl} - The Quest location will be shown with an arrow character around the player{nl} - Instante Travel after completing a quest is possible{nl}  (Push Backspace or click the icon to teleport back to the NPC){nl} - You can activate / deactivate quest alerts infront of the quest name via a check box{/}
UI_20150317_000520	{@st41b}  Active  {/}
UI_20150317_000521	{@st41b}  Canceled  {/}
UI_20150317_000522	{@st43}{s22}Quest Information{/}
UI_20150317_000523	Mission
UI_20150317_000524	{@st41}完成{/}
UI_20150317_000525	任务进展情况信息
UI_20150317_000526	{s18}{ol}任务信息
UI_20150317_000527	{s16}剩余时间
UI_20150317_000528	使用任务物品
UI_20150317_000529	任务提示
UI_20150317_000530	{@st41}确认{/}
UI_20150317_000531	{@st43}{s22}探索完成{/}
UI_20150317_000532	{@st41b}Complete{/}
UI_20150317_000533	{@st41}受理{/}
UI_20150317_000534	{@st41}拒绝{/}
UI_20150317_000535	{@st44}返回{/}
UI_20150317_000536	你想返回到任务吗?
UI_20150317_000537	{@st41b}任务 class 名称{/}
UI_20150317_000538	{@st59}Expend Slots{/}
UI_20150317_000539	{@st59}Colapse Slots{/}
UI_20150317_000540	{@st59}召唤同伴.{/}
UI_20150317_000541	{@st44}菜单{/}
UI_20150317_000542	{@st60}选择角色{/}
UI_20150317_000543	{@st60}登出{/}
UI_20150317_000544	{@st60}游戏结束{/}
UI_20150317_000545	{@st60}游戏设置{/}
UI_20150317_000546	{@st60}返回{/}
UI_20150317_000547	{@st41}跳过教程{/}
UI_20150317_000548	{@st41}选择人物{/}
UI_20150317_000549	{@st41}登出{/}
UI_20150317_000550	{@st41}游戏结束{/}
UI_20150317_000551	{@st41}返回{/}
UI_20150317_000552	{@st43}{s22}Gather Raid!
UI_20150317_000553	{@st41b}Monsters are approaching the outskirts of the town castle. Only you can solve this problem.
UI_20150317_000554	{@st43}{s22}游戏设置{/}
UI_20150317_000555	{@sti7}Searching parties for raid..{/}
UI_20150317_000556	{@st41b}取消参与
UI_20150317_000557	{@st41b}我会解决!
