ITEM_20150317_000001	Empty_头盔 
ITEM_20150317_000084	并不难体会一个老兵当年第一次把剑握在手中的感觉. 
ITEM_20150317_000085	哀嚎 
ITEM_20150317_000086	一把给勇敢的冒险者使用的剑. 讽刺的是, 它总是发现强力的魔物. 严格地说持有这把剑是它前任对你的报复. 
ITEM_20150317_000087	骑兵剑 
ITEM_20150317_000088	一把罗马短剑的刀刃部分的延长版. 
ITEM_20150317_000089	阿拉斯的砍刀 
ITEM_20150317_000090	这把武器让你有机会体验到什么叫质量上乘的砍刀. 
ITEM_20150317_000091	铁匠之剑 
ITEM_20150317_000092	 - 2% 几率造成额外的 +600% 伤害. 
ITEM_20150317_000093	这把剑时不时闪烁着创造者精湛的工艺. 
ITEM_20150317_000094	克莱维斯之剑 
ITEM_20150317_000095	尽管质量不咋地, 但是它卖得便宜. 
ITEM_20150317_000096	迪奥之剑 
ITEM_20150317_000097	农用打谷剑 
ITEM_20150317_000098	炙热昏睡剑 
ITEM_20150317_000099	诅咒之剑 
ITEM_20150317_000100	阿斯顿之剑 
ITEM_20150317_000101	黛妃之剑 
ITEM_20150317_000102	初级 剑 
ITEM_20150317_000103	三位一体剑 
ITEM_20150317_000104	如果你不满意一种砍刀, 这是另一个选择. 然而, 你要为它的额外工艺承担费用. 
ITEM_20150317_000105	杜兰德尔 
ITEM_20150317_000106	许多冒险者都说这是他们用过最好的武器. 它的名字来源于一名挥舞长剑的上古神选战士. 
ITEM_20150317_000107	维尔纽普 
ITEM_20150317_000108	人们甚至会远离这把据说是残忍得过分的武器. 
ITEM_20150317_000109	福尔蒂 
ITEM_20150317_000110	来自不受欢迎植物大灾变, 在卷土重来的身负铠甲的强力魔物中证明了它的价值. 
ITEM_20150317_000111	恰帕瑞森 切割者 
ITEM_20150317_000112	按理来说, 这种剑也能用于和恶魔们战斗. 
ITEM_20150317_000113	亡者的切割者 
ITEM_20150317_000114	疯狂挥舞它, 成为带来死亡的使者. 
ITEM_20150317_000115	恰帕瑞森 剑 
ITEM_20150317_000116	这可作为纠缠于恶魔之间的间接证据. 
ITEM_20150317_000117	单身之剑 
ITEM_20150317_000118	携带着女神祝福和力量能, 够赦免原罪的宝剑. 
ITEM_20150317_000119	伊莉莎 
ITEM_20150317_000120	这把匕首同时严重威胁到对手的生命和持有者的钱包. 当然啦, 大多数剑士都忽略了后者. 
ITEM_20150317_000121	预计删除 
ITEM_20150317_000122	双手式剑 [切割类] 
ITEM_20150317_000123	丹凯尔 混合型剑 
ITEM_20150317_000124	许多大师级工匠和士兵们称之为 '混合型式双手剑.' 他们说这是自我证明. 
ITEM_20150317_000125	水纹剑 
ITEM_20150317_000126	如果你专精于双手武器, 这种波浪形的边缘能造成大量伤害. 
ITEM_20150317_000127	武士刀 
ITEM_20150317_000128	这把武士刀长度 '正好可以' 增加切割效果并且主宰持有者和敌人之间的空间. 
ITEM_20150317_000129	双刃刀 
ITEM_20150317_000130	所有的双刃刀都来自于这个注重重量和蛮力的国度. 
ITEM_20150317_000131	巨刃 
ITEM_20150317_000132	这把匕首特殊的扇形释放了它的潜能以及对应各种场合的多功能性. 
ITEM_20150317_000133	石中剑 
ITEM_20150317_000134	常见于高阶士兵携带. 
ITEM_20150317_000135	直刃刀 
ITEM_20150317_000136	与看上去不同, 这种剑是双刃的并且经常被追求实用的剑士使用. 
ITEM_20150317_000137	轻型双刃刀 
ITEM_20150317_000138	这种形状的匕首能让你减少伤害. 
ITEM_20150317_000139	粗糙的巨刃 
ITEM_20150317_000140	爱伦 
ITEM_20150317_000141	最初连伟大的 Ruklyss 都携带这种剑. 
ITEM_20150317_000142	练习用混合型剑 
ITEM_20150317_000143	混合型剑 
ITEM_20150317_000144	重型的水纹剑 
ITEM_20150317_000145	重型的武士刀 
ITEM_20150317_000146	重型的双刃刀 
ITEM_20150317_000147	丹凯尔 武士刀 
ITEM_20150317_000148	丹凯尔 直刃刀 
ITEM_20150317_000149	丹凯尔 水纹剑 
ITEM_20150317_000150	丹凯尔 双刃刀 
ITEM_20150317_000151	华丽宝剑 
ITEM_20150317_000152	卡特兹巴 
ITEM_20150317_000153	裙摆之剑 
ITEM_20150317_000154	双把儿 
ITEM_20150317_000155	刽子手的剑 
ITEM_20150317_000156	鲁迈双手式剑 
ITEM_20150317_000157	超越之刃 
ITEM_20150317_000158	潜能 
ITEM_20150317_000159	看过众多水纹剑后一个伟大的抉择. 
ITEM_20150317_000160	特苏斯水纹剑 
ITEM_20150317_000161	这把剑能大幅提高你的天赋. 为了你的潜在天赋试试它. 
ITEM_20150317_000162	高级的巨刃 
ITEM_20150317_000163	这把剑适合那些寻求更重, 更强, 以及挥舞得更远. 
ITEM_20150317_000164	克莱切尔 
ITEM_20150317_000165	这种适用于装饰或收藏的武器在植物大灾变前被广泛追捧. 
ITEM_20150317_000166	厚格玛的华丽宝剑 
ITEM_20150317_000167	厚格玛们如何制造和使用这些武器并不重要. 我们更关心的是它的特色手工以及如何自己使用. 
ITEM_20150317_000168	坎么奈斯之混合型剑 
ITEM_20150317_000169	唤醒植物大灾变时, 冻勺子家族向所有的炼精术士们展示了这个武器的配方工艺. 
ITEM_20150317_000170	第一道曙光 
ITEM_20150317_000171	那些寻求武器原始力量的剑士们会选择这把剑作为首选魔法剑. 
ITEM_20150317_000172	慈渣 
ITEM_20150317_000173	那些喜欢精炼武器的人制造出来给自己用. 
ITEM_20150317_000174	大帝国之双手式剑 
ITEM_20150317_000175	如果你从黑市上购买这种剑, 这是让你获得一定程度上可靠性的证据. 
ITEM_20150317_000176	普瑞布兰达 
ITEM_20150317_000177	这种剑与 '第一道曙光' 是同一个作者. 
ITEM_20150317_000178	青金石质卡特兹巴 
ITEM_20150317_000179	卡特兹巴的能力提升研究已经过去了100年. 因此这个武器的配方与 Ruklyss 无关. 
ITEM_20150317_000180	铁匠之双手式剑 
ITEM_20150317_000181	由于神树之日事件, 没有什么人关注魔法武器的不稳定性. 
ITEM_20150317_000182	克莱维斯之双手式剑 
ITEM_20150317_000183	这种剑就是你值得信任的双臂. 
ITEM_20150317_000184	农用打谷双手式剑 
ITEM_20150317_000185	炙热昏睡双手式剑 
ITEM_20150317_000186	诅咒之双手式剑 
ITEM_20150317_000187	阿斯顿之双手式剑 
ITEM_20150317_000188	黛妃之双手式剑 
ITEM_20150317_000189	初级 双手式剑 
ITEM_20150317_000190	弗拉米尼 
ITEM_20150317_000191	长久以来被视为对付恶魔们的优秀武器. 
ITEM_20150317_000192	巫师的杀手 
ITEM_20150317_000193	菜鸟巫师往往没有心思去对待这个特殊武器. 然而, 一个经验丰富的人懂得怎么去引导它无与伦比的力量. 
ITEM_20150317_000194	双手式剑 [Strike] 
ITEM_20150317_000195	就像是伸手不见五指的夜里扔出飞刀, 纳克提斯都无法预料到它的目标. 
ITEM_20150317_000196	露西铅液 
ITEM_20150317_000197	虽然有些人吐槽这把武器是 '伐木斧头', 真正用过它的人会告诉你没有它你在植物大灾变中根本走不远. 
ITEM_20150317_000198	地狱天堂 
ITEM_20150317_000199	有种说法叫做 '攻击是最好的防御.' 它的证明就是这把武器. 
ITEM_20150317_000200	亡者的牙齿 
ITEM_20150317_000201	这把武器并没有真的用死人牙齿来制造. 
ITEM_20150317_000202	恰帕瑞森 双手式剑 
ITEM_20150317_000203	有时候巨大的力量会产生真空, 还有些时候, 庞大的重量可以形成一个无重区域. 
ITEM_20150317_000204	露易丝 
ITEM_20150317_000205	对传说中那些日日夜夜生活在奇怪国度的生物极其有效. 
ITEM_20150317_000206	重力星 
ITEM_20150317_000207	无法回避的重力, 不论是谁是哪. 但是你可以适应它, 没有人能低估这种力量. 
ITEM_20150317_000208	粗糙的短小魔棒 
ITEM_20150317_000209	魔棒 [Strike] 
ixITEM_20150317_000210	给迟早都要计划学习魔法艺术的人. 
ITEM_20150317_000211	短小魔棒 
ITEM_20150317_000212	当年轻的魔法师们从学徒的阴影下毕业, 他们被给与这个武器. 
ITEM_20150317_000213	低端的久远的魔棒 
ITEM_20150317_000214	装饰部分是常见于魔法导师的增加了功能的装备, 不仅仅是外观. 
ITEM_20150317_000215	低端的漫游者手杖 
ITEM_20150317_000216	当一个知名的巫师煞费苦心的雕刻这个魔棒, 它必然包含了神秘的力量r. 
ITEM_20150317_000217	手杖 
ITEM_20150317_000218	如果你能提供材料的话, 将能自制这个升级版魔棒. 
ITEM_20150317_000219	克鲁克弯钩 
ITEM_20150317_000220	传说在一开始的时候, 邪恶的巫师们最先开始使用这种武器. 
ITEM_20150317_000221	白镴质魔棒 
ITEM_20150317_000222	它曾今是一把在雄心勃勃的年轻巫师们中很受欢迎的武器. 
ITEM_20150317_000223	猫头鹰魔棒 
ITEM_20150317_000224	上面这个化妆品深受资深巫师们的欢迎. 
ITEM_20150317_000225	符文魔棒 
ITEM_20150317_000226	一个魔法符文被用来放大魔棒的力量. 
ITEM_20150317_000227	水晶 魔棒 
ITEM_20150317_000228	这根魔棒需要宝石精密装配在杆上的工艺. 
ITEM_20150317_000229	粗糙的白镴质魔棒 
ITEM_20150317_000230	粗糙的猫头鹰魔棒 
ITEM_20150317_000231	军用的短小魔棒 
ITEM_20150317_000232	这个魔棒是给军中的大法师们准备的. 虽然在植物大灾变中制造方法已经丢失, 但是依旧货源充足. 
ITEM_20150317_000233	首领的久远的魔棒 
ITEM_20150317_000234	这根魔棒的形状曾经深受欢迎. 虽然是老旧的流行款式, 任然不失优雅. 
ITEM_20150317_000235	粗糙的漫游者手杖 
ITEM_20150317_000236	战斗 魔棒 
ITEM_20150317_000237	除了铸造为魔法辅助, 这个魔棒也被设计为在物理战斗中使用. 
ITEM_20150317_000238	重型的短小魔棒 
ITEM_20150317_000239	久远的魔棒 
ITEM_20150317_000240	重型的久远的魔棒 
ITEM_20150317_000241	漫游者手杖 
ITEM_20150317_000242	重型的手杖 
ITEM_20150317_000243	重型的克鲁克弯钩 
ITEM_20150317_000244	重型的白镴质魔棒 
ITEM_20150317_000245	丹凯尔 克鲁克弯钩 
ITEM_20150317_000246	丹凯尔 水晶 魔棒 
ITEM_20150317_000247	丹凯尔 久远的魔棒 
ITEM_20150317_000248	丹凯尔 漫游者手杖 
ITEM_20150317_000249	丹凯尔 手杖 
ITEM_20150317_000250	丹凯尔 白镴质魔棒 
ITEM_20150317_000251	蛇纹 魔棒 
ITEM_20150317_000252	变幻 魔棒 
ITEM_20150317_000253	娜德 魔棒 
ITEM_20150317_000254	上古 魔棒 
ITEM_20150317_000255	流星 魔棒 
ITEM_20150317_000256	环状 魔棒 
ITEM_20150317_000257	Servant 魔棒 
ITEM_20150317_000258	哑剧之魔棒 
ITEM_20150317_000259	巫师们已经将从植物大灾变引发的魔物大爆发发现的新资料应用到不同的情况下. 
ITEM_20150317_000260	冰之魔棒 
ITEM_20150317_000261	Rumor says that every time the crafting recipe for this 魔棒 is sold, part of the price goes to the Cryomancer Master. 
ITEM_20150317_000262	火焰魔棒 
ITEM_20150317_000263	Only the Pyromancer 大师之knows the method of infusing the power of Goddess Gabija into the 魔棒s that be久远的to this 类型. 
ITEM_20150317_000264	Vasia 魔棒 
ITEM_20150317_000265	Although priests frown upon the manipulation of 精神s during its manufacturing, wizards do not pay attention to this objection. 
ITEM_20150317_000266	魔力魔棒 
ITEM_20150317_000267	A simple 魔棒 for enhancing magic, easily craftable by beginner 魔导s. 
ITEM_20150317_000268	Grinas 魔棒 
ITEM_20150317_000269	The 提升in Demons after the Great Plant Cataclysm increased the price of this already-expensive 魔棒. 
ITEM_20150317_000270	坎么奈斯之魔棒 
ITEM_20150317_000271	Despite the similarity in the name with another 武器, this 武器 has no direct relation to the 冻勺子 family. 
ITEM_20150317_000272	拱形魔棒 
ITEM_20150317_000273	A 武器 that fills the role of a stepping stone to advanced wizardry for aspiring wizards. Once the 巫师的achieves his objective with his increased 智力, this 武器 is replaced by another. 
ITEM_20150317_000274	大帝国之魔棒 
ITEM_20150317_000275	It is popular among wizards who likes to stand out. 
ITEM_20150317_000276	Aras' 久远的魔棒 
ITEM_20150317_000277	It is often given as a 小型 gift amongst wizards thanks to its affordable price. 
ITEM_20150317_000278	铁匠之魔棒 
ITEM_20150317_000279	The unexpected features of this 武器 are independent of whoever uses it. 
ITEM_20150317_000280	克莱维斯之魔棒 
ITEM_20150317_000281	You may be the first 巫师的in history to ever use this 武器. 
ITEM_20150317_000282	迪奥之魔棒 
ITEM_20150317_000283	农用打谷魔棒 
ITEM_20150317_000284	炙热昏睡魔棒 
ITEM_20150317_000285	诅咒之魔棒 
ITEM_20150317_000286	阿斯顿之魔棒 
ITEM_20150317_000287	黛妃之魔棒 
ITEM_20150317_000288	初级 魔棒 
ITEM_20150317_000289	Temere 
ITEM_20150317_000290	This 魔棒的nickname is 'The 权杖 of Patience.' Legends say that Agailla Flurry, the greatest 巫师的in history, devised this 魔棒 in order to train her apprentices. 
ITEM_20150317_000291	Ignition 
ITEM_20150317_000292	Though the Pyromancer 大师之is researching a way to mitigate the unstable drawbacks of this 权杖, there has been no development so far. 
ITEM_20150317_000293	Secretum 
ITEM_20150317_000294	A 武器 made for and only for wizards. Thus wizards usually ign矿石the flaws of this 权杖. 
ITEM_20150317_000295	亡者的魔棒 
ITEM_20150317_000296	A 魔棒 containing the power of the 亡者. 
ITEM_20150317_000297	恰帕瑞森 魔棒 
ITEM_20150317_000298	灾麻 
ITEM_20150317_000299	Rumors say that the high price of this 魔棒的recipe is due to strong pressure from the Cryomancer Master. 
ITEM_20150317_000300	Epos 
ITEM_20150317_000301	A 魔棒 that has been crafted 久远的time ago using the best available 魔力knowledge at the time of crafting. As a result, it is impossible to add to the 魔棒, even with the current advancements in magic. 
ITEM_20150317_000302	Twinkle 魔棒 
ITEM_20150317_000303	You can always see a twinkling star. 
ITEM_20150317_000304	Empty_武器_双手弓 
ITEM_20150317_000305	粗糙的轻型弓 
ITEM_20150317_000306	弓 [Stab] 
ITEM_20150317_000307	Easily craftable at home. 
ITEM_20150317_000308	轻型弓 
ITEM_20150317_000309	宽大的ly crafted by people across the kingdom and its territories. 
ITEM_20150317_000310	低端的短小弓 
ITEM_20150317_000311	It的a 弓 for beginners, but some proficient archers still like to keep using it. 
ITEM_20150317_000312	粗糙的长弓 
ITEM_20150317_000313	A 小型 distance can sometimes be the deciding factor between life and death. This 弓 is a good cho冰之if you want a longer reach. 
ITEM_20150317_000314	双合弓 
ITEM_20150317_000315	A 弓 with improved flexibility through the application of various ingredients. 
ITEM_20150317_000316	护身之弓 
ITEM_20150317_000317	It symbolizes the stalwart resolve of an unyielding archer. 
ITEM_20150317_000318	手工造弓 
ITEM_20150317_000319	It is presumably named after the place where its inventor came from. 
ITEM_20150317_000320	角弓 
ITEM_20150317_000321	A 弓 prefer红色的by the Cavalry. 
ITEM_20150317_000322	Gulyle 
ITEM_20150317_000323	The first ever recorded case of applying 魔力in the 弓crafting process. Since then it has found its own market. 
ITEM_20150317_000324	Karman 
ITEM_20150317_000325	A 弓 modified for m矿石power by archers confident in 他们的arm 力量. 
ITEM_20150317_000326	粗糙的手工造弓 
ITEM_20150317_000327	粗糙的角弓 
ITEM_20150317_000328	军用的轻型弓 
ITEM_20150317_000329	This 弓 has been crafted to meet the minimum requirements of the Army. 
ITEM_20150317_000330	市长的短小弓 
ITEM_20150317_000331	It shows signs of the effort put into unstringing and restringing the 弓 every day. Despite its age, the 弓 is in good condition. 
ITEM_20150317_000332	粗糙的长弓 
ITEM_20150317_000333	Gendawa 
ITEM_20150317_000334	This 弓 is the best among those crafted without using 魔力in the process. 
ITEM_20150317_000335	重型的轻型弓 
ITEM_20150317_000336	短小弓 
ITEM_20150317_000337	重型的短小弓 
ITEM_20150317_000338	长弓 
ITEM_20150317_000339	重型的双合弓 
ITEM_20150317_000340	重型的护身之弓 
ITEM_20150317_000341	重型的手工造弓 
ITEM_20150317_000342	丹凯尔 护身之弓 
ITEM_20150317_000343	丹凯尔 Karman 
ITEM_20150317_000344	丹凯尔 短小弓 
ITEM_20150317_000345	丹凯尔 长弓 
ITEM_20150317_000346	丹凯尔 双合弓 
ITEM_20150317_000347	丹凯尔 手工造弓 
ITEM_20150317_000348	Recurve 弓 
ITEM_20150317_000349	Seige 弓 
ITEM_20150317_000350	狙击手之弓 
ITEM_20150317_000351	Skull 弓 
ITEM_20150317_000352	木质Compound 弓 
ITEM_20150317_000353	Tag 弓 
ITEM_20150317_000354	Rogue 弓 
ITEM_20150317_000355	Seeker 
ITEM_20150317_000356	This 弓, popular among hunters, became even m矿石宽大的spread after the Great Plant Cataclysm. 
ITEM_20150317_000357	铁质弓 
ITEM_20150317_000358	This 弓 has great precision and can frequently cause unexpected 伤害 to the foe. 
ITEM_20150317_000359	Hawk 弓 
ITEM_20150317_000360	A 护身之弓 made with random 骨头s will sometimes not have synergy with gold. 
ITEM_20150317_000361	坎么奈斯之弓 
ITEM_20150317_000362	It was named for its effect of increasing the agility of the user. 
ITEM_20150317_000363	猎人之弓 
ITEM_20150317_000364	The application of Alchemy in 弓crafting remained theoretical until circumstances made it a trend in recent p魔棒uction. 
ITEM_20150317_000365	创造者之弓 
ITEM_20150317_000366	In the past, only wealthy hunters bought this 弓. With the dire events in recent history, however, anyone who can afford to is purchasing or crafting it. 
ITEM_20150317_000367	野蛮人弓 
ITEM_20150317_000368	Due to 提升in demand for high quality 弓s since the Great Plant Cataclysm, this 弓 is being crafted quite frequently. 
ITEM_20150317_000369	蛇形弓 
ITEM_20150317_000370	This 弓 is a good cho冰之regardless of your muscle 力量. This is because if you have strong arms, you can shoot with m矿石power and if you don't, the 弓 compensates for it. 
ITEM_20150317_000371	大帝国之弓 
ITEM_20150317_000372	Like the name suggests, this 弓 strikes with 毒性ous 攻击s. 
ITEM_20150317_000373	Lethena 弓 
ITEM_20150317_000374	You can feel the sensation of 猎人之a 大号 魔物 with this 弓 thanks to its solid 负重. 
ITEM_20150317_000375	强弓 
ITEM_20150317_000376	Tricky to manufacture, but worth the trouble. 
ITEM_20150317_000377	Aras' 短小弓 
ITEM_20150317_000378	Usually purchased by first-timers with 魔力弓s. 
ITEM_20150317_000379	Pully 弓 
ITEM_20150317_000380	铁匠之弓 
ITEM_20150317_000381	If there are no other 弓s you can purchase, buy this and hope for the best. 
ITEM_20150317_000382	克莱维斯之弓 
ITEM_20150317_000383	Apart from being a 魔力弓 it is generally considered 的to be mediocre, but a user might make exceptional use of it. 
ITEM_20150317_000384	迪奥之弓 
ITEM_20150317_000385	三叉弓 
ITEM_20150317_000386	炙热昏睡弓 
ITEM_20150317_000387	诅咒之弓 
ITEM_20150317_000388	阿斯顿之弓 
ITEM_20150317_000389	黛妃之弓 
ITEM_20150317_000390	初级 弓 
ITEM_20150317_000391	原野ling Bane 
ITEM_20150317_000392	Prior to the Great Plant Cataclysm, hunters rarely used this 弓. It might sound strange, but the 弓 would cause excessive 伤害 to the prey. 
ITEM_20150317_000393	Equalizer 
ITEM_20150317_000394	There are proud archers who don't want any variables affecting 他们的archery skill outside of 他们的own abilities. This 弓 is a perfect match for them. 
ITEM_20150317_000395	心脏 Seeker 
ITEM_20150317_000396	For unknown reason the spell bound to this 弓 has become a curse to both the foe and the user. Regardless, the 弓 is still used by archers for its merits. 
ITEM_20150317_000397	Viper 
ITEM_20150317_000398	This 毒性-imbued 弓 is so toxic that it afflicts its user as well. 
ITEM_20150317_000399	亡者的弓 
ITEM_20150317_000400	This 弓 will send your enemies to 他们的deaths. 
ITEM_20150317_000401	恰帕瑞森 弓 
ITEM_20150317_000402	The engravings say: 'Straighten your back and broaden your shoulders; pull the 弓串弦and push the 弓 as you shoot.' 
ITEM_20150317_000403	Blood Gain 
ITEM_20150317_000404	This 弓 was created by Lydia Schaffen. She frequently used this 弓 throughout her lifetime but intentionally did not give the crafting method to 'The Tower of the Stars' and 'Schaffenstar', two entities founded by Lydia herself. 
ITEM_20150317_000405	Tempest 射手 
ITEM_20150317_000406	A new 弓 designed and developed through joint cooperation of 大师之弓crafters. It was conceived with the hope of overcoming the Great Plant Cataclysm. 
ITEM_20150317_000407	Empty_武器_弓 
ITEM_20150317_000408	低端的轻型十字弓 
ITEM_20150317_000409	十字弓 [Stab] 
ITEM_20150317_000410	Useful when having a free hand is m矿石important than just having 攻击 power. 
ITEM_20150317_000411	低端的十字弓 
ITEM_20150317_000412	Modern十字弓s use many different materials, mostly 魔物 parts. 
ITEM_20150317_000413	单发弓 
ITEM_20150317_000414	A 弓 that allows swift and fluid reloading of its ammunition. 
ITEM_20150317_000415	连发 弓 
ITEM_20150317_000416	The 连发 射手 大师之uses this to teach beginners. 
ITEM_20150317_000417	欧克十字弓 
ITEM_20150317_000418	Although it is hard to find wood for crafting since the Great Plant Cataclysm, this 武器 is not hard to make. 
ITEM_20150317_000419	封印十字弓 
ITEM_20150317_000420	A 封印 is attached because 魔物 骨头s may be cursed. 
ITEM_20150317_000421	Catapult 
ITEM_20150317_000422	There is a 久远的history of rese拱形on adapting siege 武器ry for use by one person. This 武器 is the culmination of that research. 
ITEM_20150317_000423	Cranequine 
ITEM_20150317_000424	The mechanism assists beginners in using it, but experienced users will benefit from the added power. 
ITEM_20150317_000425	粗糙的欧克十字弓 
ITEM_20150317_000426	粗糙的封印十字弓 
ITEM_20150317_000427	狙击手之十字弓 
ITEM_20150317_000428	A powerful十字弓, infamous for being used by the Assassin Evoniphon. 
ITEM_20150317_000429	轻型十字弓 
ITEM_20150317_000430	重型的轻型十字弓 
ITEM_20150317_000431	十字弓 
ITEM_20150317_000432	重型的单发弓 
ITEM_20150317_000433	重型的连发 弓 
ITEM_20150317_000434	重型的欧克十字弓 
ITEM_20150317_000435	丹凯尔 连发 弓 
ITEM_20150317_000436	丹凯尔 Cranequine 
ITEM_20150317_000437	丹凯尔十字弓 
ITEM_20150317_000438	丹凯尔 单发弓 
ITEM_20150317_000439	丹凯尔 欧克十字弓 
ITEM_20150317_000440	劲弩 
ITEM_20150317_000441	费迪南的炮台 
ITEM_20150317_000442	弹丸 射手 
ITEM_20150317_000443	黑色的流苏之弓 
ITEM_20150317_000444	长钉十字弓 
ITEM_20150317_000445	无风 
ITEM_20150317_000446	重型的十字弓 
ITEM_20150317_000447	Seemingly a very hefty 武器, picking it up and using it proves that there must be some spell allo羽翼 it to be lighter than it actually is. 
ITEM_20150317_000448	宽大的十字弓 
ITEM_20150317_000449	Excellent for dealing fatal blows when aimed carefully. 
ITEM_20150317_000450	Grand Cross 
ITEM_20150317_000451	A very popular十字弓 among Archers because of its high quality and lack of drawbacks. 
ITEM_20150317_000452	坎么奈斯之十字弓 
ITEM_20150317_000453	武器 based on Alchemy are in great demand since the Great Plant Cataclysm. 
ITEM_20150317_000454	Medina十字弓 
ITEM_20150317_000455	This 武器 is specialized in taking down well-equipped enemies. 
ITEM_20150317_000456	Regina十字弓 
ITEM_20150317_000457	Not good enough to be considered 的the "Lord of十字弓s," but the title of "Queen" seems fair. 
ITEM_20150317_000458	驱逐者 
ITEM_20150317_000459	Frequently used by Archers operating in areas with poor visibility or high wind. 
ITEM_20150317_000460	大帝国之十字弓 
ITEM_20150317_000461	Rumors say that 黑色的Market 武器 are intentionally made to be expensive to maintain. 
ITEM_20150317_000462	Grave十字弓 
ITEM_20150317_000463	This 武器 is recommended if you intend to 永久性的put the target to sleep. 
ITEM_20150317_000464	铁匠之十字弓 
